reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-10511,Jessups Mill Pond State Game Land,34.862,-78.7296,FM04pu,US-NC,142,142,13973,0,0
US-10512,Verde River Greenway State Natural Area,34.7531,-112.022,DM34xs,US-AZ,44,43,1799,0,0
US-10513,Granite Mountain Hotshots State Park,34.2114,-112.77,DM34of,US-AZ,102,101,2430,0,0
US-10514,San Pedro Riparian BLM National Conservation Area,31.5834,-110.134,DM41wo,US-AZ,73,67,2481,0,0
US-10516,Jerome State Historical Park,34.754,-112.111,DM34ws,US-AZ,38,37,1180,0,0
US-10517,Pendills Creek National Fish Hatchery,46.4417,-84.8232,EN76ok,US-MI,16,16,491,0,0
US-10518,Tombstone Courthouse State Historical Park,31.7127,-110.07,DM41xr,US-AZ,41,39,868,0,0
US-10519,Jordan River National Fish Hatchery,45.0264,-84.9654,EN75ma,US-MI,117,117,4267,0,0
US-10521,Garnet Ghost Town BLM Historic Preservation Site,46.8253,-113.339,DN36ht,US-MT,6,6,245,0,0
US-10524,Acton (BLM) Recreation Site,46.045,-108.664,DN56qb,US-MT,17,17,879,0,0
US-10525,Coal Banks Landing (BLM) Recreation Site,48.031,-110.238,DN48va,US-MT,6,6,367,0,0
US-10526,Devils Elbow (BLM) Recreation Site,46.7,-111.804,DN46cq,US-MT,64,62,1893,0,0
US-10527,Judith Landing (BLM) Recreation Site,47.7408,-109.628,DN57er,US-MT,2,1,29,0,0
US-10528,Shepherd Ah Nei BLM Special Recreation Management Area,46.0343,-108.284,DN56ua,US-MT,10,10,531,0,0
US-10529,Sundance Lodge (BLM) Recreation Site,45.6481,-108.73,DN55pp,US-MT,24,24,1538,0,0
US-10530,Coeur d'Alene Parkway State Park,47.6298,-116.688,DN17pp,US-ID,124,111,4419,0,0
US-10531,Fork Branch State Nature Preserve,39.1779,-75.582,FM29fe,US-DE,68,61,1834,0,1
US-10532,Wellington State Wildlife Area,40.6981,-104.983,DN70mq,US-CO,100,98,3284,0,2
US-10533,Watson Lake State Wildlife Area,40.6296,-105.169,DN70jp,US-CO,253,246,7856,0,0
US-10534,Garfield Creek State Wildlife Area,39.5232,-107.545,DM69fm,US-CO,21,20,1317,0,0
US-10535,West Rifle Creek State Wildlife Area,39.6328,-107.75,DM69dp,US-CO,15,15,455,0,0
US-10536,Roswell Marsh Wildlife Habitat Area Habitat Protection Area,43.7637,-116.992,DN13ms,US-ID,19,18,871,0,0
US-10537,Three Fingers BLM Herd Management Area,43.4124,-117.172,DN13jj,US-OR,8,8,102,0,0
US-10538,Jackies Butte BLM Herd Management Area,42.6438,-117.547,DN12fp,US-OR,1,1,11,0,0
US-10539,Rifle Falls State Fish Hatchery,39.6955,-107.701,DM69dq,US-CO,9,9,187,0,0
US-10540,Bellevue-Watson State Fish Hatchery,40.6322,-105.17,DN70jp,US-CO,43,42,1165,0,0
US-10541,Gull Cove State Recreation Area,41.6339,-71.231,FN41jp,US-RI,102,102,4454,0,1
US-10542,Camp Cronin State Recreation Area,41.3625,-71.4873,FN41gi,US-RI,78,76,3627,0,1
US-10543,Patriots Park State Historic Site,41.6018,-71.2583,FN41io,US-RI,77,77,2759,0,0
US-10544,Jerimoth Hill State Recreation Area,41.8512,-71.7786,FN41cu,US-RI,30,30,881,0,0
US-10545,Hillsdale Preserve Management Area,41.522,-71.6411,FN41em,US-RI,245,245,11616,0,1
US-10546,Eight Rod Farm Wildlife Management Area,41.5521,-71.1899,FN41jn,US-RI,47,47,2174,0,0
US-10547,Silver Spring State Recreation Area,41.5388,-71.4705,FN41gm,US-RI,73,72,2780,0,0
